Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1.0,2837.0,Merri-bek Primary School,Primary,O,157-163 Moreland Road,,Coburg,VIC,3058.0,P O Box 10,,MORELAND,VIC,3058.0,03 9386 2510,525.0,Merri-bek (C),144.96648,-37.75505
Government,1.0,2840.0,Tanjil South Primary School,Primary,O,253 Moe-Willow Grove Road,,Tanjil South,VIC,3825.0,253 Moe-Willow Grove Road,,TANJIL SOUTH,VIC,3825.0,03 5160 1255,83.0,Baw Baw (S),146.2524,-38.11887
Government,1.0,2859.0,Pomonal Primary School,Primary,O,2859 Ararat - Halls Gap Road,,Pomonal,VIC,3381.0,Post Office,,POMONAL,VIC,3381.0,03 5356 6292,26.0,Ararat (RC),142.60873,-37.19344
Government,1.0,2870.0,Elsternwick Primary School,Primary,O,44 Murphy Street,,Brighton,VIC,3186.0,44 Murphy Street,,BRIGHTON,VIC,3186.0,03 8534 6100,91.0,Bayside (C),144.99729,-37.89142
Government,1.0,2888.0,Glengarry Primary School,Primary,O,41 - 45 Cairnbrook Road,,Glengarry,VIC,3854.0,41 - 45 Cairnbrook Road,,GLENGARRY,VIC,3854.0,03 5192 4292,381.0,Latrobe (C),146.57134,-38.12758
Government,1.0,2897.0,Carnegie Primary School,Primary,O,51 Truganini Road,,Carnegie,VIC,3163.0,51 Truganini Road,,CARNEGIE,VIC,3163.0,03 9571 2662,231.0,Glen Eira (C),145.0545,-37.89074
Government,1.0,2899.0,Lang Lang Primary School,Primary,O,52 Westernport Road,,Lang Lang,VIC,3984.0,52 Westernport Road,,LANG LANG,VIC,3984.0,03 5997 5322,145.0,Cardinia (S),145.5694,-38.26317
Government,1.0,2900.0,Croydon Primary School,Primary,O,Cnr Kent Avenue & Croydon Road,,Croydon,VIC,3136.0,P O Box 269,,CROYDON,VIC,3136.0,03 9723 2472,441.0,Maroondah (C),145.28132,-37.79317
Government,1.0,2901.0,Moonee Ponds West Primary School,Primary,O,150 Athol Street,,Moonee Ponds,VIC,3039.0,150 Athol Street,,MOONEE PONDS,VIC,3039.0,03 9370 6875,506.0,Moonee Valley (C),144.90933,-37.76895
Government,1.0,2904.0,Mitcham Primary School,Primary,O,294 Mitcham Road,,Mitcham,VIC,3132.0,294 Mitcham Road,,MITCHAM,VIC,3132.0,03 9873 1551,698.0,Whitehorse (C),145.19272,-37.80899
Government,1.0,2912.0,Loch Primary School,Primary,O,2 Victoria Road,,Loch,VIC,3945.0,2 Victoria Road,,LOCH,VIC,3945.0,03 5659 4254,617.0,South Gippsland (S),145.70295,-38.36862
Government,1.0,2915.0,Mildura Primary School,Primary,O,175-189 San Mateo Avenue,,Mildura,VIC,3500.0,175-189 San Mateo Ave,,MILDURA,VIC,3500.0,03 5023 1851,478.0,Mildura (RC),142.16049,-34.19429
Government,1.0,2923.0,Blackburn Primary School,Primary,O,185 Surrey Road,,Blackburn,VIC,3130.0,185 SURREY ROAD,,BLACKBURN,VIC,3130.0,03 9878 1483,698.0,Whitehorse (C),145.1567,-37.81657
Government,1.0,2930.0,Newmerella Primary School,Primary,O,2-4 McLaughlins Road,,Newmerella,VIC,3886.0,PO Box 75,,Newmerella,VIC,3886.0,03 5154 1620,211.0,East Gippsland (S),148.434,-37.73547
Government,1.0,2932.0,Port Melbourne Primary School,Primary,O,415 Graham Street,,Port Melbourne,VIC,3207.0,415 Graham Street,,PORT MELBOURNE,VIC,3207.0,03 9646 1001,590.0,Port Phillip (C),144.93381,-37.83532
Government,1.0,2948.0,Auburn Primary School,Primary,O,51 Rathmines Road,,Hawthorn East,VIC,3123.0,51 Rathmines Road,,HAWTHORN EAST,VIC,3123.0,03 9882 7035,111.0,Boroondara (C),145.05048,-37.82028
Government,1.0,2950.0,Mentone Primary School,Primary,O,6 Childers Street,,Mentone,VIC,3194.0,6 Childers Street,,MENTONE,VIC,3194.0,03 9583 2995,343.0,Kingston (C),145.06797,-37.98295
Government,1.0,2955.0,Princes Hill Primary School,Primary,O,280 Pigdon Street,,Carlton North,VIC,3054.0,280 Pigdon Street,,CARLTON NORTH,VIC,3054.0,03 9389 5300,735.0,Yarra (C),144.9681,-37.7804
Government,1.0,2959.0,Research Primary School,Primary,O,1570 Main Road,,Research,VIC,3095.0,1570 Main Road,,RESEARCH,VIC,3095.0,03 9437 1917,571.0,Nillumbik (S),145.18357,-37.70292
Government,1.0,2961.0,Pearcedale Primary School,Primary,O,740 Baxter-Tooradin Road,,Pearcedale,VIC,3912.0,P O Box 1474,,PEARCEDALE,VIC,3912.0,03 5978 6250,161.0,Casey (C),145.23198,-38.20301
Government,1.0,2963.0,Lindenow South Primary School,Primary,O,607 Lindenow-Glenaladale Road,,Lindenow South,VIC,3875.0,607 Lindenow Glenaladale Road,,Lindenow South,VIC,3875.0,03 5157 1397,211.0,East Gippsland (S),147.4339,-37.82694
Government,1.0,2966.0,Thorpdale Primary School,Primary,O,19 Robinson Street,,Thorpdale,VIC,3835.0,P O Box 11,,THORPDALE,VIC,3835.0,03 5634 6325,83.0,Baw Baw (S),146.17879,-38.28846
Government,1.0,2969.0,St Albans Primary School,Primary,O,39 West Esplanade,,St Albans,VIC,3021.0,P O Box 126,,ST ALBANS,VIC,3021.0,03 9366 2832,118.0,Brimbank (C),144.79577,-37.73875
Government,1.0,2981.0,Leongatha Primary School,Primary,O,Nerrena Road,,Leongatha,VIC,3953.0,Private Bag 2,,LEONGATHA,VIC,3953.0,03 5667 4600,617.0,South Gippsland (S),145.95898,-38.47893
Government,1.0,2988.0,Jeparit Primary School,Primary,O,Sands Avenue,,Jeparit,VIC,3423.0,P O Box 58,,JEPARIT,VIC,3423.0,03 5397 2033,298.0,Hindmarsh (S),141.98405,-36.14134
Government,1.0,3016.0,Toorak Primary School,Primary,O,Canterbury Road,,Toorak,VIC,3142.0,Canterbury Road,,TOORAK,VIC,3142.0,03 9827 2959,635.0,Stonnington (C),145.00991,-37.84508
Government,1.0,3023.0,Baxter Primary School,Primary,O,120 Grant Road,,Baxter,VIC,3911.0,120 Grant Road,,BAXTER,VIC,3911.0,03 5971 1391,534.0,Mornington Peninsula (S),145.18155,-38.19966
Government,1.0,3028.0,Fish Creek and District Primary School,Primary,O,10 Foster Road,,Fish Creek,VIC,3959.0,10 Foster Road,,Fish Creek,VIC,3959.0,03 5683 2271,617.0,South Gippsland (S),146.08442,-38.69475
Government,1.0,3033.0,Beaconsfield Primary School,Primary,O,71-77 Old Princes Highway,,Beaconsfield,VIC,3807.0,P O Box 251,,BEACONSFIELD,VIC,3807.0,03 9707 1510,145.0,Cardinia (S),145.37164,-38.04863
Government,1.0,3050.0,Metung Primary School,Primary,O,90 Stirling Road,,Metung,VIC,3904.0,90 Stirling Road,,METUNG,VIC,3904.0,03 5156 2259,211.0,East Gippsland (S),147.85246,-37.88296
Government,1.0,3053.0,Newhaven Primary School,Primary,O,12-22 School Avenue,,Newhaven,VIC,3925.0,12-22 School Avenue,,Newhaven,VIC,3925.0,03 5956 7326,74.0,Bass Coast (S),145.35686,-38.51315
Government,1.0,3058.0,Halls Gap Primary School,Primary,O,10-14 School Road,,Halls Gap,VIC,3381.0,10-14 School Road,,HALLS GAP,VIC,3381.0,03 5356 4235,581.0,Northern Grampians (S),142.51743,-37.13748
Government,1.0,3067.0,Tallygaroopna Primary School,Primary,O,24-34 Victoria Street,,Tallygaroopna,VIC,3634.0,24-34 Victoria Street,,TALLYGAROOPNA,VIC,3634.0,03 5829 8264,283.0,Greater Shepparton (C),145.43632,-36.23861
Government,1.0,3074.0,Ormond Primary School,Primary,O,121 Wheatley Road,,Ormond,VIC,3204.0,P O Box 465,,BENTLEIGH,VIC,3204.0,03 9578 1327,231.0,Glen Eira (C),145.03367,-37.907
Government,1.0,3077.0,Korumburra Primary School,Primary,O,6 - 16 Mine Road,,Korumburra,VIC,3950.0,Private Bag 1,,KORUMBURRA,VIC,3950.0,03 5655 1309,617.0,South Gippsland (S),145.82564,-38.43513
Government,1.0,3080.0,Crib Point Primary School,Primary,O,70 Milne Street,,Crib Point,VIC,3919.0,70 Milne Street,,CRIB POINT,VIC,3919.0,03 5983 9282,534.0,Mornington Peninsula (S),145.20054,-38.36048
Government,1.0,3081.0,Pascoe Vale Primary School,Primary,O,362 Gaffney Street,,Pascoe Vale,VIC,3044.0,362 Gaffney Street,,PASCOE VALE,VIC,3044.0,03 9354 1611,525.0,Merri-bek (C),144.93726,-37.73122
Government,1.0,3098.0,Flowerdale Primary School,Primary,O,3377 Whittlesea Yea Road,,Flowerdale,VIC,3717.0,3377 Whittlesea Yea Road,,FLOWERDALE,VIC,3717.0,03 5780 1264,562.0,Murrindindi (S),145.29136,-37.31692
Government,1.0,3100.0,Ocean Grove Primary School,Primary,O,1 - 23 Draper Street,,Ocean Grove,VIC,3226.0,1 - 23 Draper Street,,OCEAN GROVE,VIC,3226.0,03 5255 1340,275.0,Greater Geelong (C),144.52185,-38.26399
Government,1.0,3109.0,Beulah Primary School,Primary,O,Henty Highway,,Beulah,VIC,3395.0,Henty Highway,,BEULAH,VIC,3395.0,03 5390 2332,763.0,Yarriambiack (S),142.41826,-35.94494
Government,1.0,3110.0,Merri Creek Primary School,Primary,O,Miller Street,,Fitzroy North,VIC,3068.0,Miller Street,,FITZROY NORTH,VIC,3068.0,03 9481 0177,735.0,Yarra (C),144.98739,-37.77697
Government,1.0,3113.0,Sunshine Primary School,Primary,O,Cnr Hampshire & Derby Roads,,Sunshine,VIC,3020.0,Cnr Hampshire & Derby Roads,,SUNSHINE,VIC,3020.0,03 8311 5700,118.0,Brimbank (C),144.83101,-37.79079
Government,1.0,3129.0,Tyabb Primary School,Primary,O,186 Mornington-Tyabb Road,,Tyabb,VIC,3913.0,186 Mornington-Tyabb Road,,TYABB,VIC,3913.0,03 5977 4584,534.0,Mornington Peninsula (S),145.16664,-38.26071
Government,1.0,3139.0,Wales Street Primary School,Primary,O,49 Wales Street,,Thornbury,VIC,3071.0,49 Wales Street,,THORNBURY,VIC,3071.0,03 9484 3949,189.0,Darebin (C),145.00883,-37.76151
Government,1.0,3145.0,Upper Sandy Creek Primary School,Primary,O,1037 Sandy Creek Road,,Sandy Creek,VIC,3695.0,1037 Sandy Creek Road,,HUON,VIC,3695.0,02 6071 8526,335.0,Indigo (S),147.1129,-36.35518
Government,1.0,3146.0,Spensley Street Primary School,Primary,O,193 Spensley Street,,Clifton Hill,VIC,3068.0,193 Spensley Street,,CLIFTON HILL,VIC,3068.0,03 9481 4666,735.0,Yarra (C),145.00388,-37.78679
Government,1.0,3161.0,Kew East Primary School,Primary,O,35 Kitchener Street,,Kew East,VIC,3102.0,35 Kitchener Street,,Kew East,VIC,3102.0,03 9859 2903,111.0,Boroondara (C),145.04915,-37.79647
Government,1.0,3163.0,Nichols Point Primary School,Primary,O,110 Koorlong Avenue,,Nichols Point,VIC,3501.0,"110 Koorlong Avenue,",,NICHOLS POINT,VIC,3501.0,03 5023 1633,478.0,Mildura (RC),142.20464,-34.2088
Government,1.0,3174.0,Irymple Primary School,Primary,O,2032 15th Street,,Irymple,VIC,3498.0,P O Box 715,,IRYMPLE,VIC,3498.0,03 5024 5334,478.0,Mildura (RC),142.15908,-34.2266
Government,1.0,3179.0,Brunswick East Primary School,Primary,O,195a Stewart Street,,Brunswick East,VIC,3057.0,195a Stewart Street,,BRUNSWICK EAST,VIC,3057.0,03 9387 3361,525.0,Merri-bek (C),144.98,-37.76527
Government,1.0,3215.0,Eagle Point Primary School,Primary,O,43 School Road,,Eagle Point,VIC,3878.0,43 School Road,,EAGLE POINT,VIC,3878.0,03 5156 6382,211.0,East Gippsland (S),147.68022,-37.89245
Government,1.0,3216.0,Yarra Junction Primary School,Primary,O,2370 Warburton Highway,,Yarra Junction,VIC,3797.0,P O Box 109,,Yarra Junction,VIC,3797.0,03 5967 1544,745.0,Yarra Ranges (S),145.60608,-37.77903
Government,1.0,3222.0,Sassafras Primary School,Primary,O,399 Mt Dandenong Tourist Road,,Sassafras,VIC,3787.0,399 Mt Dandenong Tourist Road,,SASSAFRAS,VIC,3787.0,03 9755 1203,745.0,Yarra Ranges (S),145.35455,-37.86162
Government,1.0,3228.0,Ferny Creek Primary School,Primary,O,School Road,,Ferny Creek,VIC,3786.0,School Road,,Ferny Creek,VIC,3786.0,03 9755 1522,745.0,Yarra Ranges (S),145.33473,-37.88421
Government,1.0,3237.0,Toolangi Primary School,Primary,O,Main Road,,Toolangi,VIC,3777.0,Main Road,,TOOLANGI,VIC,3777.0,03 5962 9255,562.0,Murrindindi (S),145.4725,-37.53537
Government,1.0,3241.0,Wonga Park Primary School,Primary,O,Dudley Road,,Wonga Park,VIC,3115.0,Dudley Road,,WONGA PARK,VIC,3115.0,03 9722 1325,421.0,Manningham (C),145.274,-37.73064
Government,1.0,3255.0,Kinglake West Primary School,Primary,O,1041-1061 Whittlesea-Kinglake Rd,,Kinglake West,VIC,3757.0,1041-1061Whittlesea-KinglakeRd,,KINGLAKE WEST,VIC,3757.0,03 5786 5262,562.0,Murrindindi (S),145.2596,-37.4813
Government,1.0,3261.0,Perseverance Primary School,Primary,O,Centreway,,French Island,VIC,3921.0,C/- Crib Point Primary School,,CRIB POINT,VIC,3919.0,03 5980 1292,939.0,Unincorporated Vic,145.33341,-38.38338
Government,1.0,3265.0,Monbulk Primary School,Primary,O,1 Main Road,,Monbulk,VIC,3793.0,P O Box 231,,MONBULK,VIC,3793.0,03 9756 6481,745.0,Yarra Ranges (S),145.41026,-37.87685
Government,1.0,3278.0,Lake Boga Primary School,Primary,O,8 Williams Street,,Lake Boga,VIC,3584.0,P O Box 137,,LAKE BOGA,VIC,3584.0,03 5036 9000,661.0,Swan Hill (RC),143.63207,-35.46451
Government,1.0,3279.0,Chum Creek Primary School,Primary,O,705 Chum Creek Road,,Chum Creek,VIC,3777.0,705 Chum Creek Road,,CHUM CREEK,VIC,3777.0,03 5962 5391,745.0,Yarra Ranges (S),145.48925,-37.60596
Government,1.0,3284.0,Mount Dandenong Primary School,Primary,O,13 - 15 Farndons Road,,Mount Dandenong,VIC,3767.0,P O Box  179,,KALORAMA,VIC,3766.0,03 9751 1136,745.0,Yarra Ranges (S),145.36217,-37.83074
Government,1.0,3309.0,Badger Creek Primary School,Primary,O,139 Badger Creek Rd,,Healesville,VIC,3777.0,P O Box 477,,HEALESVILLE,VIC,3777.0,03 5962 4019,745.0,Yarra Ranges (S),145.53324,-37.68134
Government,1.0,3315.0,Middle Kinglake Primary School,Primary,O,RSD 1 Extons Road,,Kinglake Central,VIC,3757.0,RSD 1  Extons Road,,KINGLAKE CENTRAL,VIC,3757.0,03 5786 1295,562.0,Murrindindi (S),145.31568,-37.50521
Government,1.0,3322.0,Point Lonsdale Primary School,Primary,O,22 Bowen Road,,Point Lonsdale,VIC,3225.0,P O Box 87,,POINT LONSDALE,VIC,3225.0,03 5258 1501,608.0,Queenscliffe (B),144.62113,-38.27443
Government,1.0,3323.0,Kongwak Primary School,Primary,O,1445 Wonthaggi Korumburra Road,,Kongwak,VIC,3951.0,P O Box 159,,INVERLOCH,VIC,3996.0,03 5657 4224,617.0,South Gippsland (S),145.71286,-38.51511
Government,1.0,3336.0,Clarinda Primary School,Primary,O,1166 Centre Road,,Clarinda,VIC,3169.0,1166 Centre Road,,CLARINDA,VIC,3169.0,03 9544 3231,343.0,Kingston (C),145.10292,-37.927
Government,1.0,3341.0,Chelsea Heights Primary School,Primary,O,194 Thames Promenade,,Chelsea Heights,VIC,3196.0,194 Thames Promenade,,CHELSEA HEIGHTS,VIC,3196.0,03 9772 4139,343.0,Kingston (C),145.13806,-38.04502
Government,1.0,3345.0,Wallington Primary School,Primary,O,608 - 610 Wallington Road,,Wallington,VIC,3222.0,610 Wallington Road,,WALLINGTON,VIC,3222.0,03 5250 1841,275.0,Greater Geelong (C),144.50685,-38.21788
Government,1.0,3356.0,Tecoma Primary School,Primary,O,1536 Burwood Highway,,Tecoma,VIC,3160.0,1536 Burwood Highway,,TECOMA,VIC,3160.0,03 9754 2354,745.0,Yarra Ranges (S),145.34492,-37.90696
Government,1.0,3368.0,Torquay P-6 College,Primary,O,45-55 Grossmans Road,,Torquay,VIC,3228.0,45-55 Grossmans Road,,TORQUAY,VIC,3228.0,03 5261 2360,649.0,Surf Coast (S),144.31231,-38.32177
Government,1.0,3381.0,Emerald Primary School,Primary,O,10 Heroes Avenue,,Emerald,VIC,3782.0,10 Heroes Avenue,,Emerald,VIC,3782.0,03 5968 4311,145.0,Cardinia (S),145.44243,-37.93338
Government,1.0,3385.0,Carrum Primary School,Primary,O,2-6 Church Road,,Carrum,VIC,3197.0,P O Box 156,,SEAFORD,VIC,3198.0,03 9772 1117,343.0,Kingston (C),145.1267,-38.07812
Government,1.0,3401.0,Nyora Primary School,Primary,O,Grundy Avenue,,Nyora,VIC,3987.0,Grundy Avenue,,NYORA,VIC,3987.0,03 5659 6240,617.0,South Gippsland (S),145.67489,-38.33624
Government,1.0,3423.0,Exford Primary School,Primary,O,1137 Exford Road,,Exford,VIC,3338.0,P O Box 2237,,MELTON SOUTH,VIC,3338.0,03 9743 5025,465.0,Melton (C),144.55879,-37.74529
Government,1.0,3426.0,Ultima Primary School,Primary,O,Cnr Cameron & O'Connor Street,,Ultima,VIC,3544.0,BOX 76,,ULTIMA,VIC,3544.0,03 5039 6101,661.0,Swan Hill (RC),143.26617,-35.47623
Government,1.0,3432.0,Mount Waverley Primary School,Primary,O,37-45 Park Lane,,Mount Waverley,VIC,3149.0,37 - 45 Park Lane,,MOUNT WAVERLEY,VIC,3149.0,03 9807 1480,497.0,Monash (C),145.12411,-37.88127
Government,1.0,3433.0,Marlo Primary School,Primary,O,Jorgensen Street,,Marlo,VIC,3888.0,P O Box 64,,MARLO,VIC,3888.0,03 5154 8236,211.0,East Gippsland (S),148.53504,-37.79627
Government,1.0,3449.0,Murrumbeena Primary School,Primary,O,Hobart Road,,Murrumbeena,VIC,3163.0,Hobart Road,,MURRUMBEENA,VIC,3163.0,03 9568 1300,231.0,Glen Eira (C),145.07041,-37.88617
Government,1.0,3466.0,Wesburn Primary School,Primary,O,2850 Warburton Highway,,Wesburn,VIC,3799.0,P O Box 492,,YARRA JUNCTION,VIC,3797.0,03 5967 1302,745.0,Yarra Ranges (S),145.64707,-37.76869
Government,1.0,3470.0,Koorlong Primary School,Primary,O,3645 Benetook Ave,,Koorlong,VIC,3501.0,PO BOX 14176,,KOORLONG,VIC,3501.0,03 5025 7205,478.0,Mildura (RC),142.08485,-34.27806
Government,1.0,3476.0,Warranwood Primary School,Primary,O,1 Wellington Park Drive,,Warranwood,VIC,3134.0,1 Wellington Park Drive,,Warranwood,VIC,3134.0,03 9876 6066,441.0,Maroondah (C),145.24698,-37.77435
Government,1.0,3479.0,Willowmavin Primary School,Primary,O,690 Willowmavin Road,,Willowmavin,VIC,3764.0,690 Willowmavin Road,,WILLOWMAVIN,VIC,3764.0,03 5782 1319,485.0,Mitchell (S),144.88823,-37.25942
Government,1.0,3494.0,Olinda Primary School,Primary,O,45 Charlemont Lane,,Olinda,VIC,3788.0,45 Charlemont Lane,,Olinda,VIC,3788.0,03 9751 1181,745.0,Yarra Ranges (S),145.36619,-37.8547
Government,1.0,3497.0,Carlisle River Primary School,Primary,O,49 Moomowroong Road,,Carlisle River,VIC,3239.0,49 Moomowroong Road,,CARLISLE RIVER,VIC,3239.0,03 5235 0261,175.0,Colac-Otway (S),143.39503,-38.56393
Government,1.0,3505.0,Spring Gully Primary School,Primary,O,104-110 Spring Gully Road,,Bendigo,VIC,3550.0,P O Box 7018,,SPRING GULLY,VIC,3550.0,03 5443 7230,262.0,Greater Bendigo (C),144.28446,-36.79318
Government,1.0,3515.0,Mallacoota P-12 College,Pri/Sec,O,25 Bucknall Street,,Mallacoota,VIC,3892.0,Locked Bag 1001,,MALLACOOTA,VIC,3892.0,03 5158 0254,211.0,East Gippsland (S),149.7543,-37.55943
Government,1.0,3531.0,Langwarrin Primary School,Primary,O,90 Warrandyte Road,,Langwarrin,VIC,3910.0,90 Warrandyte Road,,LANGWARRIN,VIC,3910.0,03 9789 7346,217.0,Frankston (C),145.18985,-38.16039
Government,1.0,3535.0,Cockatoo Primary School,Primary,O,19-33 Belgrave-Gembrook Road,,Cockatoo,VIC,3781.0,19 - 33 Belgrave Gembrook Road,,Cockatoo,VIC,3781.0,03 5968 8017,145.0,Cardinia (S),145.49638,-37.93937
Government,1.0,3544.0,Tyabb Railway Station Primary School,Primary,O,88 The Crescent,,Tyabb,VIC,3913.0,88 The Crescent,,TYABB,VIC,3913.0,03 5977 4324,534.0,Mornington Peninsula (S),145.1925,-38.26195
Government,1.0,3551.0,Belgrave South Primary School,Primary,O,175 Colby Drive,,Belgrave South,VIC,3160.0,PO Box 1032,,UPWEY,VIC,3158.0,03 9754 2505,745.0,Yarra Ranges (S),145.35792,-37.9312
Government,1.0,3552.0,Yarra Me School,Special,O,Highview Road,,Preston,VIC,3072.0,P O Box 8228,,NORTHLAND CENTRE,VIC,3072.0,03 9478 8895,189.0,Darebin (C),145.01817,-37.73791
Government,1.0,3559.0,Sydenham - Hillside Primary School,Primary,O,39-49 Community Hub,,Sydenham,VIC,3037.0,39-49 Community Hub,,SYDENHAM,VIC,3037.0,03 9361 5300,118.0,Brimbank (C),144.76233,-37.70205
Government,1.0,3572.0,Canterbury Primary School,Primary,O,Molesworth Street,,Canterbury,VIC,3126.0,Molesworth Street,,CANTERBURY,VIC,3126.0,03 9836 4537,111.0,Boroondara (C),145.08314,-37.83096
Government,1.0,3581.0,The Lake Primary School,Primary,O,225 Seventeenth Street,,Cabarita,VIC,3505.0,P O Box 62,,CABARITA,VIC,3505.0,03 5023 3468,478.0,Mildura (RC),142.09314,-34.20592
Government,1.0,3584.0,Grey Street Primary School (Traralgon),Primary,O,30 - 44 Grey Street,,Traralgon,VIC,3844.0,P O Box 370,,TRARALGON,VIC,3844.0,03 5174 2055,381.0,Latrobe (C),146.53712,-38.19305
Government,1.0,3585.0,Brunswick North Primary School,Primary,O,Pearson Street,,Brunswick West,VIC,3055.0,Pearson Street,,BRUNSWICK WEST,VIC,3055.0,03 9383 1400,525.0,Merri-bek (C),144.95043,-37.75984
Government,1.0,3590.0,Fawkner Primary School,Primary,O,Lorne Street,,Fawkner,VIC,3060.0,P O Box 123,,FAWKNER,VIC,3060.0,03 9357 3579,525.0,Merri-bek (C),144.97476,-37.71524
Government,1.0,3599.0,Alphington Primary School,Primary,O,Yarralea Street,,Alphington,VIC,3078.0,Yarralea Street,,ALPHINGTON,VIC,3078.0,03 9499 2200,735.0,Yarra (C),145.03201,-37.78352
Government,1.0,3605.0,The Austin School,Special,O,145 Studley Road,,Heidelberg,VIC,3084.0,145 Studley Road,,HEIDELBERG,VIC,3084.0,03 9496 5324,66.0,Banyule (C),145.05829,-37.75544
Government,1.0,3612.0,Bona Vista Primary School,Primary,O,520 Bona Vista Road,,Bona Vista,VIC,3820.0,520 Bona Vista Road,,BONA VISTA,VIC,3820.0,03 5627 8435,83.0,Baw Baw (S),145.95991,-38.21052
Government,1.0,3613.0,Banyan Fields Primary School,Primary,O,90 Cadles Road,,Carrum Downs,VIC,3201.0,P O Box 8844,,CARRUM DOWNS,VIC,3201.0,03 9782 1333,217.0,Frankston (C),145.18791,-38.0946
Government,1.0,3618.0,Norris Bank Primary School,Primary,O,146 Settlement Road,,Bundoora,VIC,3083.0,146 Settlement Road,,BUNDOORA,VIC,3083.0,03 9467 2206,707.0,Whittlesea (C),145.04263,-37.69451
Government,1.0,3620.0,Macclesfield Primary School,Primary,O,405 Macclesfield Road,,Macclesfield,VIC,3782.0,405 Macclesfield Road,,Macclesfield,VIC,3782.0,03 5968 4734,745.0,Yarra Ranges (S),145.47537,-37.88979
Government,1.0,3631.0,Black Rock Primary School,Primary,O,71 Arkaringa Crescent,,Black Rock,VIC,3193.0,P O Box 168,,BLACK ROCK,VIC,3193.0,03 9598 2293,91.0,Bayside (C),145.02165,-37.96987
Government,1.0,3642.0,Mount Evelyn Primary School,Primary,O,33 Monbulk Road,,Mount Evelyn,VIC,3796.0,P O Box 249,,MOUNT EVELYN,VIC,3796.0,03 9736 2233,745.0,Yarra Ranges (S),145.38882,-37.79093
Government,1.0,3645.0,Kilsyth Primary School,Primary,O,Durham Road,,Kilsyth,VIC,3137.0,Durham Road,,KILSYTH,VIC,3137.0,03 9725 4320,745.0,Yarra Ranges (S),145.31494,-37.80211
Government,1.0,3650.0,Wonthaggi Primary School,Primary,O,18 Billson Street,,Wonthaggi,VIC,3995.0,P O Box 101,,WONTHAGGI,VIC,3995.0,03 5672 1600,74.0,Bass Coast (S),145.58864,-38.60795
Government,1.0,3659.0,Spotswood Primary School,Primary,O,Melbourne Road,,Spotswood,VIC,3015.0,P O Box 2135,,Spotswood,VIC,3015.0,03 9391 1323,311.0,Hobsons Bay (C),144.88174,-37.83045
Government,1.0,3664.0,Clyde Primary School,Primary,O,13 Oroya Grove,,Clyde,VIC,3978.0,13 Oroya Grove,,CLYDE,VIC,3978.0,03 5998 5293,161.0,Casey (C),145.32639,-38.13232
Government,1.0,3675.0,Noble Park Primary School,Primary,O,65 Buckley Street,,Noble Park,VIC,3174.0,P O Box 412,,NOBLE PARK,VIC,3174.0,03 9546 8811,267.0,Greater Dandenong (C),145.17391,-37.97063
Government,1.0,3680.0,Deepdene Primary School,Primary,O,958a Burke Road,,Deepdene,VIC,3103.0,958a Burke Road,,DEEPDENE,VIC,3103.0,03 9817 1917,111.0,Boroondara (C),145.06136,-37.80837
Government,1.0,3684.0,Clifton Creek Primary School,Primary,O,1020 Deptford Road,,Clifton Creek,VIC,3875.0,1020 Deptford Rd,,Clifton Creek,VIC,3875.0,03 5162 7800,211.0,East Gippsland (S),147.65939,-37.70208
Government,1.0,3686.0,Kennington Primary School,Primary,O,60 Crook Street,,Kennington,VIC,3550.0,PO Box 45,,STRATHDALE,VIC,3550.0,03 5443 2011,262.0,Greater Bendigo (C),144.3075,-36.7688
Government,1.0,3689.0,Cardinia Primary School,Primary,O,2405 Ballarto Road,,Cardinia,VIC,3978.0,2405 Ballarto Road,,CARDINIA,VIC,3978.0,03 5998 8323,145.0,Cardinia (S),145.42377,-38.1458
Government,1.0,3696.0,Grahamvale Primary School,Primary,O,85 Grahamvale Road,,Grahamvale,VIC,3631.0,85 Grahamvale Road,,GRAHAMVALE,VIC,3631.0,03 5821 4219,283.0,Greater Shepparton (C),145.43072,-36.3572
Government,1.0,3702.0,Irymple South Primary School,Primary,O,3208 Fifteenth Street,,Irymple,VIC,3498.0,P O Box 716,,IRYMPLE,VIC,3498.0,03 5024 5345,478.0,Mildura (RC),142.19062,-34.25249
Government,1.0,3703.0,Glen Huntly Primary School,Primary,O,170 Grange Road,,Glen Huntly,VIC,3163.0,P O Box 62,,GLEN HUNTLY,VIC,3163.0,03 9571 2933,231.0,Glen Eira (C),145.04623,-37.89377
Government,1.0,3708.0,Nanneella Estate Primary School,Primary,O,159 Bennett Road,,Nanneella,VIC,3561.0,159 Bennett Road,,NANNEELLA,VIC,3561.0,03 5484 5395,137.0,Campaspe (S),144.77804,-36.31297
Government,1.0,3709.0,Wantirna Primary School,Primary,O,120 Mountain Highway,,Wantirna,VIC,3152.0,120 Mountain Highway,,WANTIRNA,VIC,3152.0,03 9801 1938,367.0,Knox (C),145.21651,-37.85626
